"","item","operate","value"
"1",1,1,4.3
"2",1,2,4.9
"3",1,3,3.3
"4",1,4,5.3
"5",1,5,4.4
"6",1,1,4.3
"7",1,2,4.5
"8",1,3,4
"9",1,4,5.5
"10",1,5,3.3
"11",1,1,4.1
"12",1,2,5.3
"13",1,3,3.4
"14",1,4,5.7
"15",1,5,4.7
"16",2,1,6
"17",2,2,5.3
"18",2,3,4.5
"19",2,4,5.9
"20",2,5,4.7
"21",2,1,4.9
"22",2,2,6.3
"23",2,3,4.2
"24",2,4,5.5
"25",2,5,4.9
"26",2,1,6
"27",2,2,5.9
"28",2,3,4.7
"29",2,4,6.3
"30",2,5,4.6
"31",3,1,2.4
"32",3,2,2.5
"33",3,3,2.3
"34",3,4,3.1
"35",3,5,2.4
"36",3,1,3.9
"37",3,2,3
"38",3,3,2.8
"39",3,4,2.7
"40",3,5,1.3
"41",3,1,1.9
"42",3,2,3.9
"43",3,3,2.6
"44",3,4,4.6
"45",3,5,2.2
"46",4,1,7.4
"47",4,2,8.2
"48",4,3,6.4
"49",4,4,6.8
"50",4,5,6
"51",4,1,7.1
"52",4,2,7.9
"53",4,3,5.9
"54",4,4,7.3
"55",4,5,6.1
"56",4,1,6.4
"57",4,2,7.1
"58",4,3,6.9
"59",4,4,7
"60",4,5,6.7
"61",5,1,5.7
"62",5,2,6.3
"63",5,3,5.4
"64",5,4,6.1
"65",5,5,5.9
"66",5,1,5.8
"67",5,2,5.7
"68",5,3,5.4
"69",5,4,6.2
"70",5,5,6.5
"71",5,1,5.8
"72",5,2,6
"73",5,3,6.1
"74",5,4,7
"75",5,5,4.9
"76",6,1,2.2
"77",6,2,2.4
"78",6,3,1.7
"79",6,4,3.4
"80",6,5,1.7
"81",6,1,3
"82",6,2,1.8
"83",6,3,2.1
"84",6,4,4
"85",6,5,1.7
"86",6,1,2.1
"87",6,2,3.3
"88",6,3,1.1
"89",6,4,3.3
"90",6,5,2.1
"91",7,1,1.2
"92",7,2,1.5
"93",7,3,1.2
"94",7,4,0.9
"95",7,5,0.7
"96",7,1,1.3
"97",7,2,2.4
"98",7,3,0.8
"99",7,4,1.2
"100",7,5,1.3
"101",7,1,0.9
"102",7,2,3.1
"103",7,3,1.1
"104",7,4,1.9
"105",7,5,1.6
"106",8,1,4.2
"107",8,2,4.8
"108",8,3,4.5
"109",8,4,4.6
"110",8,5,3.2
"111",8,1,3
"112",8,2,4.5
"113",8,3,4.7
"114",8,4,4.9
"115",8,5,4.6
"116",8,1,4.8
"117",8,2,4.8
"118",8,3,4.7
"119",8,4,4.8
"120",8,5,4.3
"121",9,1,8
"122",9,2,8.6
"123",9,3,9
"124",9,4,9.4
"125",9,5,8.8
"126",9,1,9
"127",9,2,7.7
"128",9,3,6.7
"129",9,4,9
"130",9,5,7.9
"131",9,1,8.9
"132",9,2,9.2
"133",9,3,8.1
"134",9,4,9.1
"135",9,5,7.6
"136",10,1,5
"137",10,2,4.8
"138",10,3,3.9
"139",10,4,5.5
"140",10,5,3.8
"141",10,1,5.4
"142",10,2,5
"143",10,3,3.4
"144",10,4,4.9
"145",10,5,4.6
"146",10,1,2.8
"147",10,2,5.2
"148",10,3,4.1
"149",10,4,3.9
"150",10,5,5.5
